Ejercicio;Tema
Un paracaidista partiendo del reposo cae 50 m en caida libre Cuando se abre el paracaidas aparece una aceleracion de frenado de 2 m s2 Llega al suelo con una velocidad de 3 m s a ¿Cuanto tiempo dura el paracaidista en el aire b ¿Desde que altura salto?;tv
¿Desde que altura debemos dejar caer un objeto para que en el ultimo segundo antes de llegar al suelo recorra una distancia de 10 m?;tv
Un globo asciende con velocidad constante de 5 m s Cuando se encuentra a 200 m de altura se deja caer un lastre Despreciando los rozamientos determinar: a) El tiempo que emplea el lastre en llegar al suelo b) Distancia que recorre el lastre desde que deja el globo hasta que llega al suelo c) altura del globo cuando el lastre llega al suelo;tv
A una altura de h metros del suelo se lanzan simultaneamente dos bolas con la misma velocidad una verticalmente hacia arriba y la otra verticalmente hacia abajo La primera llega al suelo 5s mas tarde que la segunda Calcular: a- ¿Con que velocidad fueron lanzadas las bolas? b- ¿Tiempo que esta ascendiendo la primera bola?;tv
Un grifo gotea cada segundo 4 gotas ¿la distancia entre gotas es constante?;tv
Se lanza un cuerpo hacia arriba verticalmente desde un punto O situado a 28 m del suelo El cuerpo llega al suelo 3 s despues de haber sido lanzado Calcular: a- Velocidad con que llega al suelo b- Altura a que sube;tv
Desde 45 m de altura lanzamos bajo un angulo de 30º un movil a 35 m s Calcular a) Tiempo que esta subiendo b) Altura maxima c) Tiempo total y tiempo que esta bajando d) Alcance e) Velocidad al llegar al suelo f) Velocidad a 10 m de altura g) Si a 150 m hay un arbol de 10 m de altura ¿Chocara el movil contra el?;tob
 Desde una torre de 50 m de altura lanzamos horizontalmente un objeto con una velocidad inicial de 25 m s Calcular: a) Celeridad en el momento de llegar al suelo b) Tiempo necesario para que el objeto se encuentre a 10 m del suelo c) Si a 60 m se encuentra una pared de 14 m de altura ¿El objeto impacta con la pared?;tob
Un jugador de golf lanza una pelota desde el suelo con un angulo de 60º con respecto a la horizontal y con una velocidad de 60 m s Calcular: a) La posicion de la particula cuando la componente vertical de la velocidad es nula b) Alcance del disparo;tob
 Desde una torre de 50 m de altura lanzamos horizontalmente un objeto con una velocidad inicial de 20 m s Calcular el tiempo que tarda el objeto en llegar al suelo;tob
 Un movil situado inicialmente en el origen de coordenadas tiene una velocidad inicial de 5 m s en el sentido positivo del eje “x” simultaneamente se le comunican dos aceleraciones constantes de modulo 2 m s2  una dirigida en el sentido del eje “x” negativo y otra en el sentido positivo del eje “y” Calcular: a- Aceleracion tangencial en cualquier instante de tiempo b- Posicion de la particula para la cual la velocidad es minima;tob
 Se dispara un proyectil con una velocidad de 600 m s formando un angulo de 60 grados con la horizontal a ¿Que altura maxima alcanzara? b ¿Cuanto tiempo tardara en alcanzarla? c ¿Que velocidad tendra en dicho punto? d ¿Cual sera el alcance maximo? e ¿Con que velocidad llegara al suelo?;tob
Un helicoptero que vuela a 40 m s y a 25 m de altura lleva provisiones a un barco que se encuentra a una distancia horizontal ‘d’ de un barco que navega a 4 m s a Calcular el valor de ‘d’ para que si el helicoptero lanza un paquete este caiga sobre el barco b ¿Que distancia horizontal hay entre el barco y el helicoptero cuando el paquete cae sobre el barco?;tob
 Un nino de 15 metros de altura y que esta parado a 15 m de una valla de 5 m de altura lanza una piedra con una velocidad inicial de 15 m s y un angulo con la horizontal de 45 grados Si el nino lanza la pelota desde 15 metros del suelo determinar: a ¿Podra pasar la pelota por encima de la valla? b ¿Que velocidad tendra la pelota en el momento de llegar a la vertical de la valla?;tob
Un centrocampista trata de sorprender desde 50 m a un portero adelantado golpeando en la direccion correcta el balon que sale de su bota a 80 km h y con un angulo de 45 grados del suelo El portero se encuentra a 7 m de su porteria y tarda 1 s en reaccionar y retroceder a una velocidad de 2 m s ¿Sera gol o no?;tob
Un bombardero que vuela horizontalmente suelta 3 bombas con intervalos de 1 s ¿Cual es la distancia vertical entre la primera y la segunda y entre la segunda y la tercera?: a) En el instante en que se deja caer la tercera b) Despues de que la primera ha descendido 200 m;tob
Un jugador de golf lanza una pelota desde el suelo con un angulo de 60º con respecto a la horizontal y con una velocidad de 60m s Calcular en que posicion la celeridad es 50 m s;tob
Dos aviones vuelan a distinta altura Si uno vuela a 200 m s a 300 m de altura ¿a que velocidad vuela el otro que se encuentra a 1000 m de altura para que ambos tengan el mismo alcance al lanzar un objeto?;tob
Calcular con que angulo debemos lanzar un objeto desde el suelo para que a 50 m del punto de lanzamiento se encuentre a 25 metros de altura si lo hemos lanzado a 40 m s;tob
Sobre una mesa de 1 m de altura rueda con velocidad constante de 2 m s una bola hasta que cae por uno de sus extremos: a ¿A que distancia de la base de la mesa golpeara el suelo? b Calcula el modulo de la velocidad en el momento de chocar con el suelo;tob
Un saltador de longitud alcanza una velocidad de 10 m s en el instante en que inicia su salto Si la inclinacion con que lo realiza es de 25 grados con respecto a la horizontal y se desprecian los efectos del viento y los rozamientos determinar: a El tiempo que esta en el aire b La altura maxima alcanzada en el vuelo c La longitud minima que ha de tener el foso de arena si el salto lo inicia a 27 cm del mismo;tob
Un avion que vuela a una altura de 2 km lleva una velocidad de 100 m s ¿A que distancia del blanco debe soltar una bomba para que explote exactamente en ese punto?;tob
El portero de un equipo de balonmano inicia un contraataque lanzando la pelota con una velocidad de 20 m s y una inclinacion de 60 grados sobre un companero 25 m mas adelantado Si moviendose con velocidad constante este alcanza la pelota a la misma altura a la que ha sido lanzada determinar el valor de esta velocidad;tob
Una rueda tiene 20 cm de radio y tarda una centesima de segundo en dar una vuelta Calcular: a) Periodo b) Velocidad angular c) Velocidad lineal de un punto de la periferia d) Frecuencia e) Aceleracion normal;mcu
La rueda de un carro tiene 75 cm de radio y el carro es tirado por un caballo que va a 9 km h Hallar: a- Velocidad angular b- Las vueltas que da la rueda cada minuto;mcu
Un disco de 80 cm de radio posee un periodo de dos segundos Determinar: a Velocidad lineal de un punto de la periferia del disco b Numero de vueltas realizadas por el disco durante un tiempo de 10 s;mcu
Calcular la velocidad angular en rad s de las agujas horaria minutera y segundera de un reloj;mcu
Los puntos de la periferia de una rueda que esta girando tienen una velocidad lineal de 54 km h Si la rueda tiene un radio de 40 cm a ¿Cual es su velocidad angular en rev min? b ¿Cuantas vueltas da en 18 s? c ¿Que longitud recorre durante esos 18 segundos?;mcu
Una rueda gira a razon de 30pi rad s Calcular: ¿Cuantas vueltas da en 15 minutos?;mcu
Si la Tierra da una vuelta alrededor de su eje cada 24 horas calcular: a ¿Cual es su velocidad angular en rad h? b ¿Que velocidad lineal en km h corresponde a un punto del Ecuador en este movimiento de rotacion? Radio de la Tierra: 6370km;mcu
 Un satelite artificial describe una orbita circular a 644 km sobre la superficie de la Tierra Su periodo es de 98 min El radio terrestre mide 6370 km Calcular su velocidad lineal y su velocidad angular;mcu
Un ciguenal de un automovil gira a 4000 rpm Calcular su velocidad angular periodo y frecuencia;mcu
Una rueda de radio 0’5 m describe una vuelta completa en dos segundos Calcula: a- La distancia recorrida por un punto de la periferia de la rueda en esos 2spim b- Velocidad lineal a la cual ha girado dicho punto0’5pi m s c- Frecuencia 0’5 Hz;mcu
Un automovil circula a una velocidad constante de 15 m s si las ruedas del automovil tienen un radio de 30 cm Calcula: a- Velocidad angular de las ruedas en rpm b- Nº de vueltas que dan las ruedas en un minuto;mcu
Un movil describe una trayectoria circular de 1 m de radio a razon de treinta vueltas por minuto Calcular: a) Frecuencia y periodo del movimiento b) Componentes intrinsecas de la aceleracion;mcu
 Calcular la frecuencia de un movimiento circular uniforme de radio 40 cm si sabemos que la velocidad lineal de un punto de la periferia es de 36 km h;mcu
Un movil que gira a 15 rad s acelera alcanzando los 30 rad s tras dar 50 vueltas Calcular: a- Aceleracion angular b- Tiempo total c- Numero de vueltas que da en el ultimo segundo;mcuv
Un tocadiscos gira a 33 rpm Se desconecta de la corriente y debido a la fuerza de rozamiento que actua sobre el plato se produce una aceleracion de parada de 3 rad s2 Calcular: a- Tiempo que tarda en pararse b- Velocidad a los 05 s c- Aceleracion tangencial si R = 17 cm;mcuv
Un disco de 50 cm de radio gira a 180 rpm y se detiene en 20 segundos Calcular: a Componentes intrinsecas de la aceleracion a los 2 s de haber empezado a frenar b Tiempo necesario para que el disco gire 5 vueltas;mcuv
Un disco de 40 cm de diametro que parte del reposo gira durante 20 s hasta alcanzar las 60 rpm Transcurrido dicho tiempo el disco gira durante 10 s a velocidad constante y posteriormente inicia un frenado que lo hace detenerse en dos vueltas Calcular: a Las aceleraciones angulares al acelerar y al frenar b El numero de vueltas totales realizadas por el disco desde que inicia el movimiento hasta que se detiene de nuevo;mcuv
Calcular el tiempo necesario para que un disco que parte del reposo acelere uniformemente hasta alcanzar 30 rpm despues de recorrer 6 vueltas;mcuv
Una motocicleta est´a parada en un sem´aforo que da acceso a una carretera En el instante en el que el sem´aforo cambia a luz verde le sobrepasa un autom´ovil que circula a una velocidad de 54 km h El motorista se entretiene en arrancar y lo hace con una aceleraci´on constante de 3 6 m s2  a) ¿Cu´anto tarda la motocicleta en alcanzar al coche? b) ¿Qu´e distancia han recorrido? c) ¿Comete alguna infracci´on la moto? d) ¿Construye los diagramas v-t y s-t para los dos veh´ıculos?;mruv
Un conductor circula por una carretera con una velocidad de 90 km h y ve que se enciende la luz ´ambar de un sem´aforo situado a una distancia de 150 Si el sem´aforo tarda 3 s en cambiar a rojo y el coche frena con una aceleraci´on de 2 m s2  ¿cometer´a una infracci´on ese conductor?;mruv
Una persona est´a a punto de perder un tren En un desesperado intento corre a una velocidad constante de 6 m s Cuando est´a a 32 m de la ´ultima puerta del vag´on de cola el tren arranca con una aceleraci´on constante de 0 5 m s2  ¿Lograr´a nuestro viajero aprovechar su billete o habr´a perdido su billete tiempo y aliento en un infructuoso intento?;mruv
Desde que se deja caer una piedra en un pozo hasta que se oye el sonido del choque con el agua trancurren 2 s Calcula la profundidad del pozo sabiendo que la velocidad del sonido es de 340 m s;mruv
Desde un puente se tira hacia arriba una piedra con una velocidad inicial verical de 6 m s Calcula: a) Hasta qu´e altura se eleva la piedra b) Cu´anto tiempo tarda en volver a pasar al nivel del puente desde el que fue lanzada y cu´al ser´a entonces su velocidad c) Si la piedra cae en el r´ıo 194 s despu´es de haber sido lanzada ¿qu´e altura hay desde el puente hasta el nivel del agua? ¿Con qu´e velocidad llega la piedra a la superficie del agua?;tv
Desde una ventana situada a 15 m del suelo una ni˜na deja caer una pelota Su amiga que se encuentra en la calle debajo de la ventana lanza hacia arriba 1 segundo m´as tarde y con una velocidad de 12 m s otra pelota a) ¿A qu´e altura se cruzan? b) ¿Qu´e velocidad tiene cada pelota en ese instante? c) ¿D´onde se encuentra la segunda pelota cuando la primera llega al suelo?;tv
Un hombre que est´a frente a una ventana de 2 m de altura ve pasar un objeto que cae desde arriba siendo 03 s el tiempo que tarda el objeto en recorrer la altura de la ventana a) ¿Desde qu´a altura dej´o caer el objeto? b) ¿Qu´e velocidad tendr´a el objeto al caer al suelo?;tv
Un coche recorre 160 kilometros cada 4 horas a velocidad constante a) ¿Cual es su velocidad en metros por minuto? ¿Y en metros por segundo? b) Determine cuanto se ha desplazado en 50 segundos en 25 minutos y en un dia c) Grafique la posicion en funcion del tiempo durante los primeros 15 minutos;mru
Si 25 segundos despues de haber visto un relampago se percibe el ruido del trueno ¿a que distancia de nosotros se produjo el fenomeno si la velocidad del sonido en el aire es de 344m seg y se desprecia el tiempo de propagacion de la luz?;mru
Un movil se mueve en forma rectilinea de acuerdo al siguiente grafico de posicion en funcion del tiempo a) ¿Con que velocidad se desplaza? b) ¿Donde se hallara a las 2 horas?;mru
¿A que hora debe pasar un automovilista por la localidad A a una velocidad constante de 80 km h si desea alcanzar a las 13 horas a otro automovilista que paso por el mismo lugar a las 8 horas y que mantiene una velocidad constante de 40 km h?;mru
Un corredor recorre 500 metros llanos en 80 segundos a velocidad que puede considerarse constante durante cada tramo Al llegar al extremo del recorrido se detiene durante diez segundos y retorna por el mismo camino en 100 segundos a) ¿Cuanto vale la velocidad a la ida? ¿Cuanto vale la velocidad a la vuelta? b) Grafique la posicion del corredor desde que sale hasta que vuelve c) ¿Donde se hallara el corredor a los 40 a los 85 y a los 125 segundos?;mru
Un objeto recorre 240 km en dos horas y luego 240 km mas en tres horas a) Calcule el valor de la velocidad media en las dos primeras horas en las tres ultimas y en el recorrido total b) Grafique la posicion en funcion del tiempo;mru
Un corredor trota a lo largo de un camino recto Parte de una posicion de 60 m al este de un marcador de millas y se dirige al oeste Despues de un intervalo de tiempo corto se encuentra a 20 m al oeste de dicho marcador Considere el sentido oeste-este como el sentido de las x positivas a) ¿Cual es el desplazamiento del corredor desde su punto de partida? b) ¿Cual es su desplazamiento desde el marcador? c) Entonces el corredor gira y se dirige al este Si un cierto tiempo despues el corredor esta 140 m al este del marcador ¿cual es su desplazamiento desde el punto de partida? d) ¿Cual es la distancia total recorrida desde el punto de partida si el corredor se detiene en la posicion final mencionada en el inciso c?;mru
Un tren parte con una rapidez constante de 90 km h desde Buenos Aires hacia Mar del Plata que esta a 400 km de distancia Una hora despues parte otro tren desde Mar del Plata hacia Buenos Aires pero este con una rapidez constante de 65 km h Considerando que las vias del tren forman una linea recta determine de manera grafica y analitica cuanto tiempo despues de haber partido el primer tren se producira el encuentro y a que distancia de Mar del Plata estaran en ese momento;mru
Dos autos un compacto y una camioneta viajan en la misma direccion y sentido aunque el compacto va a 186 m atras de la camioneta La rapidez del compacto es 244 m s y la rapidez de la camioneta es de 186 m s ¿cuanto tiempo tarda el compacto en alcanzar a la camioneta?;mru
Una cebra se encuentra pastando a 150 metros de un arbol Al mismo tiempo un leopardo se prepara para atraparla escondido a 9 metros del arbol del lado contrario a donde se encuentra la cebra El leopardo inicia su carrera y alcanza a pasar por el arbol a una velocidad constante de 80 km h Cuando pasa por el arbol la cebra se percata de la presencia del leopardo e inicia su escape corriendo de manera constante a 30 km h Ambos corren en linea recta Sabiendo que el leopardo solo puede correr a esta velocidad por escasos 20 segundos y que la cebra puede mantener su velocidad de escape sin problemas por varios minutos ¿Lograra el leopardo alcanzar a su presa? Justifique;mru
Una persona ubicada entre dos montanas emite un grito y recibe el primer eco a los 4 segundos y el segundo a los 6 segundos ¿Cual es la separacion entre las montanas? Considere la velocidad del sonido en el aire constante e igual a 340 m s;mru
Desde dos pueblos A y B separados por una distancia de 200 Km salen al encuentro dos automoviles el movil que sale desde A mantiene una velocidad de 80 Km h y el automovil que sale desde B lo hace 95 minutos mas tarde a una velocidad de 120 Km h Calcula: a) Las ecuaciones del movimiento de ambos vehiculos b) Donde y cuando se encuentran c) El espacio recorrido por cada vehiculo hasta el momento del encuentro d) El tiempo que tarda el que partio de B en llegar a A e) Dibuja en una misma grafica la posicion-tiempo de ambos vehiculos;mru
Un tren cruza un tunel de 200 metros de longitud con una velocidad constante de 72 Km h Si la longitud del tren es el 60% de la longitud del tunel Calcular el tiempo empleado por el tren en cruzar el tunel;mru
Un ladron sale de una ciudad a 100 Km h Media hora mas tarde sale de la misma ciudad un policia en persecucion del ladron a 130 Km h a) Escribe las ecuaciones de movimiento de ambos vehiculos b) ¿Cuanto tardara el policia en alcanzar al ladron? c) ¿A que distancia de la ciudad de partida lo alcanzara? d) Realice el grafico de posicion en funcion del tiempo para los dos vehiculos;mru
Un venado se encuentra a 180 metros de un arbol Al mismo tiempo un Tigre se prepara para atraparla escondido a 10 metros del arbol del lado contrario a donde se encuentra el venado El tigre inicia su carrera y alcanza a pasar por el arbol a una velocidad constante de 92 km h Cuando pasa por el arbol el venado se percata de la presencia del tigre e inicia su escape corriendo de manera constante a 28 km h Ambos corren en linea recta Sabiendo que el Tigre solo puede correr a esta velocidad por escasos 32 segundos y que el venado puede mantener su velocidad de escape sin problemas por varios minutos ¿Lograra el Tigre alcanzar a su presa? Justifique;mru
Considere un avion que vuela hacia el sur a 180 Km h respecto del aire que lo rodea Si el viento sopla hacia el norte con una velocidad de 10 m s y un angulo respecto de la horizontal de 35 grados ¿Cual sera la velocidad en la que se desplaza el avion?;mru
Un automovil que se mueve a velocidad constante de 10 m s emplea 15 segundos para atravesar un puente de 147 m de longitud ¿Que longitud tiene el auto?;mru
Un motociclista pasa por un semaforo a 30 Km h Un colectivo pasa 10 s despues por el mismo lugar a 80 Km h Si circulan por una calle recta y a velocidad constante Calcula: a) Las ecuaciones del movimiento para el colectivo y la motocicleta b) Donde y cuando se encuentran c) El espacio recorrido por cada uno hasta el momento del encuentro d) Dibuja en una misma grafica la posicion-tiempo de ambos vehiculos;mru
Sara salio de la ciudad A a las 2 pm en direccion a la ciudad B viajando en auto con velocidad constante de 50 Km h Si el auto se descompuso a la mitad del trayecto demorando 05h y luego continuo el viaje con una velocidad constante de 5 km h llegando a su destino a las 8 pm ¿Cual es la distancia entre las ciudades A y B?;mru
Una oveja se encuentra a 120 metros de un arbol Al mismo tiempo un leon se prepara para atraparla escondido a 5 metros del arbol del lado contrario a donde se encuentra la oveja El leon inicia su carrera y alcanza a pasar por el arbol a una velocidad constante de 87 km h Cuando pasa por el arbol la oveja se percata de la presencia del leon e inicia su escape corriendo de manera constante a 20 km h Ambos corren en linea recta Sabiendo que el leon solo puede correr a esta velocidad por escasos 38 segundos y que la oveja puede mantener su velocidad de escape sin problemas por varios minutos ¿Lograra el leon alcanzar a su presa? Justifique;mru
Un automovil sale rumbo a Mendoza con una velocidad constante de 90 Km h otro automovil sale desde Mendoza hacia Buenos Aires 150 minutos mas tarde con una velocidad de 130 Km h Si la distancia entre Mendoza y Buenos Aires es de 1100 Km Calcula: a) Las ecuaciones del movimiento de ambos vehiculos b) Donde y cuando se encuentran c) El espacio recorrido por cada vehiculo hasta el momento del encuentro d) El tiempo que tarda el que partio de Buenos Aires en llegar a Mendoza e) Dibuja en una misma grafica la posicion-tiempo de ambos vehiculos;mru
Un tren cruza un tunel de 180 metros de longitud con una velocidad constante de 62 Km h Si la longitud del tren es el 70% de la longitud del tunel Calcular el tiempo empleado por el tren en cruzar el tunel;mru
Desde dos pueblos A y B separados por una distancia de 10 Km salen al encuentro dos automoviles con velocidades respectivas de 72 Km h y 30 m s Calcula: a) Donde y cuando se encuentran b) Dibuja en una misma grafica la posicion-tiempo de ambos vehiculos;mru
Diego sale a las 7:20 horas con destino a la escuela con una rapidez constante llegando a las 7:58 horas a su destino ¿Si duplicara su rapidez a que hora llegaria?;mru
Un tren se encuentra a 20 Km de la estacion y se aleja de ella por una via recta a 80 Km h Hallar: a) La ecuacion del movimiento del tren tomando como punto de referencia la estacion b) La distancia que lo separara de la estacion al cabo de 2 h c) El espacio que habra recorrido el tren en esas dos horas d) El tiempo que tardara el tren en situarse a 260 Km de la estacion e) Representa la grafica posicion-tiempo;mru
Dos moviles separados una distancia de 800m partes simultaneamente al encuentro con velocidades de 3m s y 253 Km h respectivamente Calcula: a) Donde y cuando se encuentran b) Dibuja en una misma grafica la posicion-tiempo de ambos vehiculos;mru
